ID,logFC,AveExpr,t,P.Value,adj.P.Val
ENSG00000049768,3.5385741328974785,8.768471011463946,32.14403308514904,8.129980551321575e-10,1.5541270821906322e-5
ENSG00000030419,3.2787310570947223,7.452950055766215,25.977532328333393,4.478304222199975e-9,1.6311062695108806e-5
ENSG00000049249,3.3547767555339862,6.917819208257921,25.812926352853438,4.711763648572951e-9,1.6311062695108806e-5
ENSG00000049247,2.8006416391388904,6.347495534800342,25.588809971246334,5.051900529434756e-9,1.6311062695108806e-5
ENSG00000151136,-2.6809245650010767,7.008270346607597,-25.55348063748825,5.10799374225606e-9,1.6311062695108806e-5
ENSG00000184613,-3.7080343482908016,7.4088203566808986,-25.351031868778993,5.4432237775264595e-9,1.6311062695108806e-5
ENSG00000163599,2.5483745552443176,10.02194263428594,25.058106635528265,5.972872926645828e-9,1.6311062695108806e-5
ENSG00000204381,3.5169172375031845,6.969825964994134,24.00482452871448,8.415770855222823e-9,2.0109484458554934e-5
ENSG00000134460,3.103299133453291,8.971851266942242,23.29305436392259,1.0699791770969332e-8,2.1051722966950285e-5
ENSG00000173334,3.2276929249087045,8.568604315472523,23.20902576217236,1.1012619254525155e-8,2.1051722966950285e-5
ENSG00000154451,2.5452967483775257,9.166752087541704,22.788043914856644,1.2742760107741368e-8,2.1164814580434625e-5
ENSG00000180530,-2.3536272923305868,7.550675072629443,-22.549506872300093,1.3857317369333832e-8,2.1164814580434625e-5
ENSG00000226423,-3.2295943058425007,6.099994862775354,-22.442345050148962,1.4393313954051585e-8,2.1164814580434625e-5
ENSG00000181847,2.409404406910839,7.377765244692856,21.296383739797687,2.184489748506163e-8,2.9827647166031293e-5
ENSG00000198846,2.409731169268406,8.838537112678738,21.056396658096972,2.3905040808675104e-8,3.0128175020800946e-5
ENSG00000164120,2.403648917181649,8.73742482895793,20.864849187406698,2.5706326790565115e-8,3.0128175020800946e-5
ENSG00000154764,-2.6392583598039034,7.896981063644488,-20.75641705873978,2.6793208587236663e-8,3.0128175020800946e-5
